2026-08-09 00:48:44,857 | INFO     | [SYSTEM] MQTT connected
2026-08-09 00:48:46,826 | INFO     | [DEVICE_STATUS] ONLINE (Boot completed)
2026-08-09 00:48:47,233 | INFO     | [SYSTEM] SOC GUI shutting down
2026-08-09 00:50:20,263 | INFO     | [SYSTEM] MQTT connected
2026-08-09 00:53:00,169 | CRITICAL | [COMMAND_SENT] CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
2026-08-09 00:53:00,255 | CRITICAL | [DEVICE_STATUS] LOCKDOWN (verified)
2026-08-09 00:53:00,305 | INFO     | [ACK_RECEIVED] OK - uplink cut
2026-08-09 00:53:29,883 | WARNING  | [UFW_BLOCK] deny from 1.2.3.4 - failed: Error executing command as another user: Not authorized

This incident has been reported.
2026-08-09 00:53:57,067 | INFO     | [COMMAND_SENT] RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
2026-08-09 00:53:57,192 | INFO     | [DEVICE_STATUS] NORMAL (verified)
2026-08-09 00:53:57,242 | INFO     | [ACK_RECEIVED] OK - uplink restored
2026-08-09 00:56:20,292 | WARNING  | [SECURITY_ALERT] Wrong PIN attempt (1/5)
2026-08-09 00:56:24,615 | WARNING  | [MODE_CHANGE] System DISARMED (maintenance)
2026-08-09 00:56:39,466 | INFO     | [MODE_CHANGE] System ARMED
2026-08-09 01:05:28,240 | INFO     | [SYSTEM] SOC GUI shutting down
2026-08-09 17:40:17,642 | INFO     | [SYSTEM] MQTT connected
2026-08-09 17:40:38,639 | INFO     | [COMMAND_SENT] RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
2026-08-09 17:40:38,783 | INFO     | [DEVICE_STATUS] NORMAL (verified)
2026-08-09 17:40:38,837 | INFO     | [ACK_RECEIVED] OK - uplink restored
2026-08-09 17:40:56,593 | CRITICAL | [COMMAND_SENT] CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
2026-08-09 17:40:56,713 | CRITICAL | [DEVICE_STATUS] LOCKDOWN (verified)
2026-08-09 17:40:56,770 | INFO     | [ACK_RECEIVED] OK - uplink cut
2026-08-09 17:41:19,417 | INFO     | [COMMAND_SENT] RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
2026-08-09 17:41:19,552 | INFO     | [DEVICE_STATUS] NORMAL (verified)
2026-08-09 17:41:19,610 | INFO     | [ACK_RECEIVED] OK - uplink restored
